,numVoy,mmsi,numObsInVoys,type,ave_len_voy,ave_time_gap,ave_dist_gap,vi_dist_gap,vi_time_gap,numObs,numShips,numVoyages,aveNumVoyages,numVoyages_q25,vi_dist_diff_q75,vi_time_diff_q75,voy_len_q75,time_gap_q75,dist_gap_q75
212,1,165216960017713.0,49143,unknown,94148014.0,8170.054263565891,4.375952794190844,2.2025190110041772,1915.8360262097594,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
213,14,165348632022699.0,53660,unknown,5794497.857142857,5041.0297066928915,2.9552712103322376,0.32136303675904315,1512.0900279589935,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
214,2,167072386810842.0,37894,trollers,73754527.5,8669.740849673202,4.432268269398163,0.07005323713283844,3892.881215032197,166243,5,15,NULL,NULL,0.005466653231905762,1079.0,51516022.5,2686.3968936468937,2.405517945123536
215,1,168015789077263.0,13289,drifting_longlines,154640505.0,10207.02,5.976856508263882,3.179073713635749,11637.60573449729,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
216,2,168698449680984.0,101146,unknown,43488669.5,3396.6654404604765,2.16993843014088,0.945744556331819,859.9119993672575,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
217,1,169618621411728.0,37777,trawlers,153783629.0,989.6881720430108,0.07743607908322087,4.980567521696608,4070.934693985599,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
218,46,170052967564863.0,84429,unknown,3329638.304347826,3302.041283940461,2.098488734297504,0.42939389252401805,1801.948210383631,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
219,7,171088031194242.0,199981,purse_seines,16513869.857142856,2640.284539995476,2.015577550466808,1.0617290574068468,579.5803190239317,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
220,1,171635257146764.0,11226,unknown,104796034.0,3305.2547098718915,3.5562929951611397,0.9126834010409264,9335.949576837416,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
221,8,174262098720075.0,39879,unknown,14227560.25,4406.983096305763,2.3919321708197434,1.7581910430055345,2808.846549696138,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
222,110,174925870281549.0,34213,drifting_longlines,761288.6636363637,19647.167821740877,0.3999804381543851,1.0908747109587915,2274.4167736621525,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
223,8,175026518773038.0,198078,unknown,11863318.875,533.172619047619,0.0005918319061116281,0.6315216766190316,479.16313012747696,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
224,73,175387414441613.0,108670,trawlers,2061771.6849315069,4015.9315230566276,0.9310579824340854,1.4504394034243078,1352.9739412254194,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
225,1,176800215813134.0,36898,unknown,153624621.0,795.75,0.0007117219196467189,0.816706998891718,4163.6073664525575,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
